name_artist,id_artist,score,id_track,name_track,release_date,running_date,difference_days
Angelo,5gQHyAPgc1ZfgfVTSnX0zd,16,0VdoEoRuChgq09JxF12xvL,SCHÉMA,2025-10-11,17-11-2025,37
Insa,73hHs7KXOQOsCOR5zgoK7D,14,5A68XHYbjdy7QHfUp6h6eC,Mec 2 LMT,2024-01-14,17-11-2025,673
Needz,62movqzaRnQKnZgdH0NNnZ,12,1Wcv5t9NooxF1TQDghHvKN,BLMN,2025-03-05,17-11-2025,257
Waitos,5BgjOneuxwsgQMkd7IXIoQ,11,7vKaefuMr8dE2yumEL8VBc,Palala,2024-01-07,17-11-2025,680
Cirfa,5BqFmc928SbBIdIBeKBV0c,9,58p3dctcDivuUDjMcivPwD,3 LETTRES 3 CHIFFRES,2025-04-18,17-11-2025,213
Brownelims,48xR5PmeVxExj2n9zXmmdq,9,2sZSDeXvW5VbN5q4iPmWet,Hennessy,2025-02-18,17-11-2025,272
Todd,39dsykDOsgbhSWe39v4XC9,7,7qyLVvBsLddK6SjOiw5DwE,BULLET PROOF,2024-03-27,17-11-2025,600
Cirfa,5BqFmc928SbBIdIBeKBV0c,6,5HMvFVYSnkoKUk2ajtNFi1,MISSION TARDIVE,2025-04-18,17-11-2025,213
ABK,239uuSvoJuZuY7rxloaFWu,5,3wCDEvyno2jSLh6l1WB9pU,Temps,2025-05-23,17-11-2025,178
Trupii,0ccS8XOQi0R8dPA8Jk02m8,5,5jkGMqrWGKYR9zDgT16cvl,Freestyle Schaerbeek,2025-09-02,17-11-2025,76
Trupii,0ccS8XOQi0R8dPA8Jk02m8,5,6CnNOzfO2U0TtNkrqpTEXJ,Sur les murs,2025-09-19,17-11-2025,59
A2F,31Abh0rOiqeyfYbV9x6pBt,3,5WSzJ2wm1c4Iqb4ShVylcd,AGAIN,2025-05-16,17-11-2025,185
Khali,0rqQfmTWtmxzlrNmnruQXS,3,5y8eKF9RimaAcSpT2zPrfE,PLM DEATHROW,2024-11-27,17-11-2025,355
