name_artist,id_artist,score,id_track,name_track,release_date,running_date,difference_days
seymoX,5DMxoLtkZeXlWMNaJJITPq,3,5uicYuog9SnNmWhC8RWVbb,LEVEL,2025-03-06,17-11-2025,256
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,2,0oC0fKaN87X4g4TGDyOQ4D,BOSSE,2025-03-21,17-11-2025,241
Ayvee,0abpwgWh43SsFPq3uVRAae,2,2RjeaLCkaAfxfKZFoLJRB5,Body Language,2025-10-10,17-11-2025,38
Brownelims,48xR5PmeVxExj2n9zXmmdq,2,5m29AYdLLRg7yh3lYiUNaS,Lovés,2025-09-05,17-11-2025,73
ABK,239uuSvoJuZuY7rxloaFWu,2,3MzcKopLjRKUKpoh3d00Po,AÏE AÏE AÏE,2025-04-25,17-11-2025,206
8ruki,0ATaMBIaHwtM6LZpQam5r2,2,6qOG3K8WnsiglhcUhZAxdw,emic flow,2025-10-29,17-11-2025,19
Kimé,5nSGxqZnLN1PCZvURQgddS,2,6IYjjeMhAlpLK9e1UoIqv8,DES SAISONS DES SAISONS,2025-06-20,17-11-2025,150
seymoX,5DMxoLtkZeXlWMNaJJITPq,2,6Nwf7Ow0XZZWr7ixQ0PclC,X-125,2025-10-19,17-11-2025,29
seymoX,5DMxoLtkZeXlWMNaJJITPq,1,7aBrWxJqiwZ6ajwCQVlExp,TAM-TAM,2025-08-01,17-11-2025,108
MD,3vGHfbHg1b5XKBiHFVyPHT,1,5dfjTc0uMkVRs0snmY7RLj,G MAL AU CRANE,2024-08-13,17-11-2025,461
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,6ztGoM8kl78RQfsrRyfgnz,LIGAMENTS,2025-10-17,17-11-2025,31
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,2pNwUB4AmwqMwuMTlqOYdU,UTOPIE47,2025-10-17,17-11-2025,31
ALPHAMASS,1NkPReiu81EQ3m7BWkzWX1,1,5GRSWCeFJfenPW1s4unsH6,Miraculé,2025-10-17,17-11-2025,31
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,3jEwgYwOQ9PtB1petiuMDN,EN CENDRE,2025-07-04,17-11-2025,136
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,38TQh8FU5cPWdZKWsM2mcn,LE VENT ET LA GRÊLE,2025-04-04,17-11-2025,227
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,430SE21HMSTYEaM0PrKibC,POURQUOI,2025-04-04,17-11-2025,227
Broco,39O7q1BFl6vlpPxWHkAQ3E,1,4G4KJfaNN5YyGlABNEcITB,TRISTE SOUS LE SOLEIL,2025-06-13,17-11-2025,157
Broco,39O7q1BFl6vlpPxWHkAQ3E,1,59xmQLkZehwijNo8E1UEba,RYUK,2025-06-27,17-11-2025,143
Floki,6hMQQUxaLq1PudsWmTJ1rS,1,00gzgZruaMM4zAOtKI0FLf,Tears In My Cup,2025-05-23,17-11-2025,178
Ayvee,0abpwgWh43SsFPq3uVRAae,1,31FUQGcDdHusmOwxJ4kTQe,Away,2025-10-30,17-11-2025,18
Needz,62movqzaRnQKnZgdH0NNnZ,1,0FHGia7799B9ch6DFfmed1,KWAY,2025-11-14,17-11-2025,3
Baby Neelou,5bpO0XTVIGNUnClzfHHQUz,1,33x4tpd7bt3Pbcl2N6uOOx,Distingué,2025-09-10,17-11-2025,68
Lil Euphon,6XHOEXZfY8tO1SR4y1b35h,1,4DL1BlOHHgVigKuftWih3n,Sous Drogues Je Suis,2025-10-24,17-11-2025,24
ABK,239uuSvoJuZuY7rxloaFWu,1,09OYZos3wQJjJ3pKQKBjD2,2 fois pire,2025-06-28,17-11-2025,142
ABK,239uuSvoJuZuY7rxloaFWu,1,4YIgzqmLh97CiMptXbqxnJ,J'ai mal,2025-10-17,17-11-2025,31
Kimé,5nSGxqZnLN1PCZvURQgddS,1,6oqYMjiKDn2Fyup9dku7EC,Tombeau=GLP,2025-04-18,17-11-2025,213
Damaa,0B7BLAtT0EOmCcgUtbr5Fh,1,0YeUZsO0B85ktTBPbP2XnZ,Petit Bonbon,2024-08-09,17-11-2025,465
Kech,0z2QBpoVY54PI0DzPEUgDK,1,0AaXNeuwlLBkRrymtuW2cV,J'écoute pas,2024-08-02,17-11-2025,472
ABK,239uuSvoJuZuY7rxloaFWu,1,0hhZS2gdYkKOJGOSoXCxTi,Roro & Diamant,2025-08-15,17-11-2025,94
