name_artist,id_artist,score,id_track,name_track,release_date,running_date,difference_days
Angelo,5gQHyAPgc1ZfgfVTSnX0zd,17,0VdoEoRuChgq09JxF12xvL,SCHÉMA,2025-10-11,12-11-2025,32
Waitos,5BgjOneuxwsgQMkd7IXIoQ,12,7vKaefuMr8dE2yumEL8VBc,Palala,2024-01-07,12-11-2025,675
Needz,62movqzaRnQKnZgdH0NNnZ,12,1Wcv5t9NooxF1TQDghHvKN,BLMN,2025-03-05,12-11-2025,252
Brownelims,48xR5PmeVxExj2n9zXmmdq,10,2sZSDeXvW5VbN5q4iPmWet,Hennessy,2025-02-18,12-11-2025,267
Cirfa,5BqFmc928SbBIdIBeKBV0c,9,58p3dctcDivuUDjMcivPwD,3 LETTRES 3 CHIFFRES,2025-04-18,12-11-2025,208
Todd,39dsykDOsgbhSWe39v4XC9,7,7qyLVvBsLddK6SjOiw5DwE,BULLET PROOF,2024-03-27,12-11-2025,595
Cirfa,5BqFmc928SbBIdIBeKBV0c,7,5HMvFVYSnkoKUk2ajtNFi1,MISSION TARDIVE,2025-04-18,12-11-2025,208
Trupii,0ccS8XOQi0R8dPA8Jk02m8,6,5jkGMqrWGKYR9zDgT16cvl,Freestyle Schaerbeek,2025-09-02,12-11-2025,71
Trupii,0ccS8XOQi0R8dPA8Jk02m8,5,6CnNOzfO2U0TtNkrqpTEXJ,Sur les murs,2025-09-19,12-11-2025,54
ABK,239uuSvoJuZuY7rxloaFWu,4,3wCDEvyno2jSLh6l1WB9pU,Temps,2025-05-23,12-11-2025,173
Khali,0rqQfmTWtmxzlrNmnruQXS,3,5y8eKF9RimaAcSpT2zPrfE,PLM DEATHROW,2024-11-27,12-11-2025,350
seymoX,5DMxoLtkZeXlWMNaJJITPq,3,5uicYuog9SnNmWhC8RWVbb,LEVEL,2025-03-06,12-11-2025,251
Ayvee,0abpwgWh43SsFPq3uVRAae,3,2RjeaLCkaAfxfKZFoLJRB5,Body Language,2025-10-10,12-11-2025,33
Brownelims,48xR5PmeVxExj2n9zXmmdq,3,5m29AYdLLRg7yh3lYiUNaS,Lovés,2025-09-05,12-11-2025,68
A2F,31Abh0rOiqeyfYbV9x6pBt,3,5WSzJ2wm1c4Iqb4ShVylcd,AGAIN,2025-05-16,12-11-2025,180
Floki,6hMQQUxaLq1PudsWmTJ1rS,2,00gzgZruaMM4zAOtKI0FLf,Tears In My Cup,2025-05-23,12-11-2025,173
ALPHAMASS,1NkPReiu81EQ3m7BWkzWX1,2,5GRSWCeFJfenPW1s4unsH6,Miraculé,2025-10-17,12-11-2025,26
8ruki,0ATaMBIaHwtM6LZpQam5r2,2,1iaH8oHZfFGt8Nz4scYFao,ferme la,2025-10-15,12-11-2025,28
ABK,239uuSvoJuZuY7rxloaFWu,2,3MzcKopLjRKUKpoh3d00Po,AÏE AÏE AÏE,2025-04-25,12-11-2025,201
8ruki,0ATaMBIaHwtM6LZpQam5r2,2,6qOG3K8WnsiglhcUhZAxdw,emic flow,2025-10-29,12-11-2025,14
Broco,39O7q1BFl6vlpPxWHkAQ3E,2,4G4KJfaNN5YyGlABNEcITB,TRISTE SOUS LE SOLEIL,2025-06-13,12-11-2025,152
Kimé,5nSGxqZnLN1PCZvURQgddS,1,6IYjjeMhAlpLK9e1UoIqv8,DES SAISONS DES SAISONS,2025-06-20,12-11-2025,145
Broco,39O7q1BFl6vlpPxWHkAQ3E,1,59xmQLkZehwijNo8E1UEba,RYUK,2025-06-27,12-11-2025,138
Bricksy & 3g,43y4CGNp5oOXqIn2FToObQ,1,6oQnTsQ0SuUpoz1l2zW36b,Akai,2024-02-22,12-11-2025,629
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,38TQh8FU5cPWdZKWsM2mcn,LE VENT ET LA GRÊLE,2025-04-04,12-11-2025,222
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,430SE21HMSTYEaM0PrKibC,POURQUOI,2025-04-04,12-11-2025,222
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,0oC0fKaN87X4g4TGDyOQ4D,BOSSE,2025-03-21,12-11-2025,236
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,2pNwUB4AmwqMwuMTlqOYdU,UTOPIE47,2025-10-17,12-11-2025,26
Ayvee,0abpwgWh43SsFPq3uVRAae,1,31FUQGcDdHusmOwxJ4kTQe,Away,2025-10-30,12-11-2025,13
MD,3vGHfbHg1b5XKBiHFVyPHT,1,5dfjTc0uMkVRs0snmY7RLj,G MAL AU CRANE,2024-08-13,12-11-2025,456
Floki,6hMQQUxaLq1PudsWmTJ1rS,1,39YY4ZzWu0uZ7Wquevf9OO,Memento,2025-02-14,12-11-2025,271
Kimé,5nSGxqZnLN1PCZvURQgddS,1,6oqYMjiKDn2Fyup9dku7EC,Tombeau=GLP,2025-04-18,12-11-2025,208
ABK,239uuSvoJuZuY7rxloaFWu,1,09OYZos3wQJjJ3pKQKBjD2,2 fois pire,2025-06-28,12-11-2025,137
ABK,239uuSvoJuZuY7rxloaFWu,1,4YIgzqmLh97CiMptXbqxnJ,J'ai mal,2025-10-17,12-11-2025,26
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,6ztGoM8kl78RQfsrRyfgnz,LIGAMENTS,2025-10-17,12-11-2025,26
Kech,0z2QBpoVY54PI0DzPEUgDK,1,0AaXNeuwlLBkRrymtuW2cV,J'écoute pas,2024-08-02,12-11-2025,467
seymoX,5DMxoLtkZeXlWMNaJJITPq,1,7aBrWxJqiwZ6ajwCQVlExp,TAM-TAM,2025-08-01,12-11-2025,103
seymoX,5DMxoLtkZeXlWMNaJJITPq,1,6Nwf7Ow0XZZWr7ixQ0PclC,X-125,2025-10-19,12-11-2025,24
Lil Euphon,6XHOEXZfY8tO1SR4y1b35h,1,4DL1BlOHHgVigKuftWih3n,Sous Drogues Je Suis,2025-10-24,12-11-2025,19
ABK,239uuSvoJuZuY7rxloaFWu,1,0hhZS2gdYkKOJGOSoXCxTi,Roro & Diamant,2025-08-15,12-11-2025,89
