name_artist,id_artist,score,id_track,name_track,release_date,running_date,difference_days
A2F,31Abh0rOiqeyfYbV9x6pBt,3,5WSzJ2wm1c4Iqb4ShVylcd,AGAIN,2025-05-16,19-11-2025,187
Guezess,3XlXxcLDDdJ6xGU9NKmPuy,3,4ibTtS4UaUeL1SZfkKp3kJ,Dark,2024-02-12,19-11-2025,646
Khali,0rqQfmTWtmxzlrNmnruQXS,3,5y8eKF9RimaAcSpT2zPrfE,PLM DEATHROW,2024-11-27,19-11-2025,357
seymoX,5DMxoLtkZeXlWMNaJJITPq,3,5uicYuog9SnNmWhC8RWVbb,LEVEL,2025-03-06,19-11-2025,258
seymoX,5DMxoLtkZeXlWMNaJJITPq,2,6Nwf7Ow0XZZWr7ixQ0PclC,X-125,2025-10-19,19-11-2025,31
LIM,0Hv7t7ApRLhrPmzzdg3HYQ,2,0g6pLXMxcSHytKNuF5jekR,J'm'attache pas,2024-10-31,19-11-2025,384
LIM,0Hv7t7ApRLhrPmzzdg3HYQ,2,2k5G8QBQ6bwu8ubJQV7MP1,COCO,2025-07-04,19-11-2025,138
LIM,0Hv7t7ApRLhrPmzzdg3HYQ,2,3zudZJKkir8cRYI7JFW5jl,ABIMÉ,2025-06-20,19-11-2025,152
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,2,0oC0fKaN87X4g4TGDyOQ4D,BOSSE,2025-03-21,19-11-2025,243
ALPHAMASS,1NkPReiu81EQ3m7BWkzWX1,2,5GRSWCeFJfenPW1s4unsH6,Miraculé,2025-10-17,19-11-2025,33
Ayvee,0abpwgWh43SsFPq3uVRAae,2,2RjeaLCkaAfxfKZFoLJRB5,Body Language,2025-10-10,19-11-2025,40
Brownelims,48xR5PmeVxExj2n9zXmmdq,2,5m29AYdLLRg7yh3lYiUNaS,Lovés,2025-09-05,19-11-2025,75
ABK,239uuSvoJuZuY7rxloaFWu,2,3MzcKopLjRKUKpoh3d00Po,AÏE AÏE AÏE,2025-04-25,19-11-2025,208
ABK,239uuSvoJuZuY7rxloaFWu,1,0hhZS2gdYkKOJGOSoXCxTi,Roro & Diamant,2025-08-15,19-11-2025,96
Baby Neelou,5bpO0XTVIGNUnClzfHHQUz,1,33x4tpd7bt3Pbcl2N6uOOx,Distingué,2025-09-10,19-11-2025,70
Guezess,3XlXxcLDDdJ6xGU9NKmPuy,1,7bbPLNdRnrNuKd9GTbFCbM,REAL G,2025-09-24,19-11-2025,56
A2F,31Abh0rOiqeyfYbV9x6pBt,1,53Kz4O23Dp44FbBltJg10r,Cette vie la,2024-07-12,19-11-2025,495
Baby Neelou,5bpO0XTVIGNUnClzfHHQUz,1,0w4PLTB1Z4gFsiRnTSVpze,SHAUN WHITE,2025-06-06,19-11-2025,166
ines,3n3sIvX76ONpkFH3XBJ4Tx,1,13bVOgAFSaTv22tL3EyfSs,Dreamed Us,2024-12-13,19-11-2025,341
Eidoss,3qsWjdTzlpzayZRzd7xJJP,1,2nyjM1g4sR4u5a6HaqG19H,Yoru,2025-10-03,19-11-2025,47
aupinard,33U9I7yBy34UXqKYObItne,1,343E9xkRhh4PWVjtv55HwU,penelope,2025-01-31,19-11-2025,292
Jemon,2fVZdHfuPk2mxWGS5TELdm,1,5jiAMHyzFpClKz7Hx8EqS0,regard noir.,2024-04-21,19-11-2025,577
BabySolo33,6OpHYcuQqOouW8AEwGc7SL,1,4RRsiY0EVWk28lYwhis4Ed,xoxo,2024-03-14,19-11-2025,615
Floki,6hMQQUxaLq1PudsWmTJ1rS,1,00gzgZruaMM4zAOtKI0FLf,Tears In My Cup,2025-05-23,19-11-2025,180
Ayvee,0abpwgWh43SsFPq3uVRAae,1,31FUQGcDdHusmOwxJ4kTQe,Away,2025-10-30,19-11-2025,20
Kech,0z2QBpoVY54PI0DzPEUgDK,1,0AaXNeuwlLBkRrymtuW2cV,J'écoute pas,2024-08-02,19-11-2025,474
ABK,239uuSvoJuZuY7rxloaFWu,1,09OYZos3wQJjJ3pKQKBjD2,2 fois pire,2025-06-28,19-11-2025,144
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,6ztGoM8kl78RQfsrRyfgnz,LIGAMENTS,2025-10-17,19-11-2025,33
Broco,39O7q1BFl6vlpPxWHkAQ3E,1,4G4KJfaNN5YyGlABNEcITB,TRISTE SOUS LE SOLEIL,2025-06-13,19-11-2025,159
Broco,39O7q1BFl6vlpPxWHkAQ3E,1,59xmQLkZehwijNo8E1UEba,RYUK,2025-06-27,19-11-2025,145
MD,3vGHfbHg1b5XKBiHFVyPHT,1,5dfjTc0uMkVRs0snmY7RLj,G MAL AU CRANE,2024-08-13,19-11-2025,463
ALPHAMASS,1NkPReiu81EQ3m7BWkzWX1,1,2EZtAndt81VNwcaks1IX3l,La haine,2024-07-26,19-11-2025,481
seymoX,5DMxoLtkZeXlWMNaJJITPq,1,7aBrWxJqiwZ6ajwCQVlExp,TAM-TAM,2025-08-01,19-11-2025,110
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,38TQh8FU5cPWdZKWsM2mcn,LE VENT ET LA GRÊLE,2025-04-04,19-11-2025,229
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,3jEwgYwOQ9PtB1petiuMDN,EN CENDRE,2025-07-04,19-11-2025,138
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,430SE21HMSTYEaM0PrKibC,POURQUOI,2025-04-04,19-11-2025,229
Lil Euphon,6XHOEXZfY8tO1SR4y1b35h,1,4DL1BlOHHgVigKuftWih3n,Sous Drogues Je Suis,2025-10-24,19-11-2025,26
ABK,239uuSvoJuZuY7rxloaFWu,1,4YIgzqmLh97CiMptXbqxnJ,J'ai mal,2025-10-17,19-11-2025,33
