name_artist,id_artist,score,id_track,name_track,release_date,running_date,difference_days
Angelo,5gQHyAPgc1ZfgfVTSnX0zd,16,0VdoEoRuChgq09JxF12xvL,SCHÉMA,2025-10-11,19-11-2025,39
Splinter,4aGtf6rai1D5I1Uka9ffAD,13,7iJZIX43TsiLqUzdtdVCwn,10 OU 2,2025-11-03,19-11-2025,16
Needz,62movqzaRnQKnZgdH0NNnZ,12,1Wcv5t9NooxF1TQDghHvKN,BLMN,2025-03-05,19-11-2025,259
Waitos,5BgjOneuxwsgQMkd7IXIoQ,11,7vKaefuMr8dE2yumEL8VBc,Palala,2024-01-07,19-11-2025,682
WRS,1o6zsbM4l2PgWk829Z6dNr,10,3J1APdZj3CoSaJO7V4zroQ,CANADA,2025-08-11,19-11-2025,100
Brownelims,48xR5PmeVxExj2n9zXmmdq,9,2sZSDeXvW5VbN5q4iPmWet,Hennessy,2025-02-18,19-11-2025,274
JJ ODB,6aQ5lPhBDOoLjI9Z2Q1mSW,9,1jTmXoiDyPSVf7mi84Ue5l,Filles Faciles,2024-05-31,19-11-2025,537
Splinter,4aGtf6rai1D5I1Uka9ffAD,9,1EA30WUkGmJdvUAuJSUtT2,MOOVE IT,2025-09-18,19-11-2025,62
Cirfa,5BqFmc928SbBIdIBeKBV0c,9,58p3dctcDivuUDjMcivPwD,3 LETTRES 3 CHIFFRES,2025-04-18,19-11-2025,215
Maxwell Bdx,1ebAZKkTUiYvvfYLTc5pJv,7,4mXUx8CyHm6Pl4fkeuw9I2,Dans le ciel,2025-06-27,19-11-2025,145
WRS,1o6zsbM4l2PgWk829Z6dNr,7,69qk0mF3ywaFYxiKGG3mgp,BREAKING BAD,2025-07-12,19-11-2025,130
Todd,39dsykDOsgbhSWe39v4XC9,7,7qyLVvBsLddK6SjOiw5DwE,BULLET PROOF,2024-03-27,19-11-2025,602
Lesfer,016mSAI1kUz8EkIu85jMBB,6,3JzAbVFXbZIeMPLLp7lmFC,ZIKS À 2,2024-04-05,19-11-2025,593
Cirfa,5BqFmc928SbBIdIBeKBV0c,6,5HMvFVYSnkoKUk2ajtNFi1,MISSION TARDIVE,2025-04-18,19-11-2025,215
Maxwell Bdx,1ebAZKkTUiYvvfYLTc5pJv,6,2mTq15LTB0pJXbSc4YdPe8,Tombent,2025-06-27,19-11-2025,145
Trupii,0ccS8XOQi0R8dPA8Jk02m8,5,6CnNOzfO2U0TtNkrqpTEXJ,Sur les murs,2025-09-19,19-11-2025,61
ABK,239uuSvoJuZuY7rxloaFWu,5,3wCDEvyno2jSLh6l1WB9pU,Temps,2025-05-23,19-11-2025,180
Trupii,0ccS8XOQi0R8dPA8Jk02m8,5,5jkGMqrWGKYR9zDgT16cvl,Freestyle Schaerbeek,2025-09-02,19-11-2025,78
Needz,62movqzaRnQKnZgdH0NNnZ,5,0FHGia7799B9ch6DFfmed1,KWAY,2025-11-14,19-11-2025,5
