name_artist,id_artist,popularity_artist,image_artist,name_track,id_track,popularity_track,release_date,score,running_date,difference_days,ville,classement
ZERG,3uyvP6YXmQnQLD8MqHqMr4,4,https://i.scdn.co/image/ab6761610000e5eb2a2e2b8f2e3e81468e17220a,ALL DAYS,2DIrCPHX92TvMu090oreTu,13,2025-09-18,9,23-11-2025,66,Bordeaux,11
Cirfa,5BqFmc928SbBIdIBeKBV0c,7,https://i.scdn.co/image/ab6761610000e5eb9555b4669fe7be9703c34df4,3 LETTRES 3 CHIFFRES,58p3dctcDivuUDjMcivPwD,16,2025-04-18,9,23-11-2025,219,Bordeaux,12
Naïloss,256NYYph425UhMKkVXvWzW,6,https://i.scdn.co/image/ab6761610000e5eba832a9ab8016c83ffed905ad,Met Gala,0WEwBjTatXht6rD0lZ3mwp,15,2025-10-03,9,23-11-2025,51,Bordeaux,13
Ricky Bishop,1BgUbirVqg7MnHDThNqOil,32,https://i.scdn.co/image/ab6761610000e5eb137515a49bf26c8421a147ad,Anlè Mwen,2QR8NqikKhIozDg0znV3Mu,29,2025-05-25,8,23-11-2025,182,Bordeaux,14
LS7,1ZwrXD6ajoGy6gXUtKbVDS,12,https://i.scdn.co/image/ab6761610000e5eb3d87a0ec63222c9d5531ec7f,7,5D0BxSFvEtzqYeX6OZhrWs,20,2025-09-19,8,23-11-2025,65,Bordeaux,15
Maydo,1JGcG0hGyvwIobPI8kvEAr,8,https://i.scdn.co/image/ab6761610000e5eb5f51a7a2b94c407c9c61643c,Nuit noire,4TP1VGgZZNK6lyY205npWg,16,2025-05-30,8,23-11-2025,177,Bordeaux,16
armoz,0IuxE1bU5CcbL1Ml1DVPax,2,https://i.scdn.co/image/ab6761610000e5eb6c43e97f65fd02e9c7b1fd23,Elle s'en va,21Ufq0HoBnyx7fDNHcRHvj,10,2025-09-19,8,23-11-2025,65,Bordeaux,17
RAPH.,0nZDK2ZKWcpbhXpWcgqykA,4,https://i.scdn.co/image/ab6761610000e5ebc96ad2642099e3856c3c7439,À l'aide,1S98DhjSH2BFzoVPi4XXW3,11,2025-09-04,7,23-11-2025,80,Bordeaux,18
Maxwell Bdx,1ebAZKkTUiYvvfYLTc5pJv,15,https://i.scdn.co/image/ab6761610000e5eb7935f497919f51b00d85e8c4,Dans le ciel,4mXUx8CyHm6Pl4fkeuw9I2,22,2025-06-27,7,23-11-2025,149,Bordeaux,19
Waitos,5BgjOneuxwsgQMkd7IXIoQ,3,https://i.scdn.co/image/ab6761610000e5eb6ec479a106e9d2d37c248bf7,Palala,7vKaefuMr8dE2yumEL8VBc,14,2024-01-07,7,23-11-2025,686,Bordeaux,20
PlasmaSeiya,1RUiRu90TwjiYvtaqZSnEp,3,https://i.scdn.co/image/ab6761610000e5eb78f3f0d8984be94c8721adb9,PARFUM,4CLO5qjtQ8YrIGr09ZeIRK,13,2024-09-11,7,23-11-2025,438,Bordeaux,21
11LVN,4ADSBvO5uxUSUkXPWjTGCS,9,https://i.scdn.co/image/ab6761610000e5ebea42696403abcc738f3b6917,VERTUMN,6wWGhAHsF5Zjq4UYnMCj9v,15,2025-02-07,6,23-11-2025,289,Bordeaux,22
Trupii,0ccS8XOQi0R8dPA8Jk02m8,2,https://i.scdn.co/image/ab6761610000e5ebd7aa7d62ede1d7f5f95e891f,Sur les murs,6CnNOzfO2U0TtNkrqpTEXJ,7,2025-09-19,5,23-11-2025,65,Bordeaux,23
ABK,239uuSvoJuZuY7rxloaFWu,1,https://i.scdn.co/image/ab6761610000e5eb732fa67195563bdd2ccd6539,Temps,3wCDEvyno2jSLh6l1WB9pU,6,2025-05-23,5,23-11-2025,184,Bordeaux,24
Noveyz,6MgJk8eXBUKIZaXYZu2KSk,10,https://i.scdn.co/image/ab6761610000e5eb480b040a22f7e7c060506734,ROSE GOLD,3BCoWW2fqOBChNS8MgDtt5,15,2025-03-26,5,23-11-2025,242,Bordeaux,25
Ismatricule,6ExdAuFeWUhDhSNLMCDrYd,36,https://i.scdn.co/image/ab6761610000e5eb4504448ba0f20d80178e3418,Take me back again,77zWREy3pmI2i6InpLephB,40,2025-06-20,4,23-11-2025,156,Bordeaux,26
yaskou,60cEyA3xmKjgVQHWQD228Q,4,https://i.scdn.co/image/ab6761610000e5eb33f94c3444ee152ad86900de,TRYHARD,3hUJk4aHar6Txgagcjec4S,8,2025-10-07,4,23-11-2025,47,Bordeaux,27
Todd,39dsykDOsgbhSWe39v4XC9,28,https://i.scdn.co/image/ab6761610000e5ebc0f74b86dba61ab843309bd2,BULLET PROOF,7qyLVvBsLddK6SjOiw5DwE,35,2024-03-27,4,23-11-2025,606,Bordeaux,28
Noki la nuit,2EQvIDvZb6Fokhk9JBqPkv,1,https://i.scdn.co/image/ab6761610000e5eb9e24ea0d9c7dcc638777c822,LFLDV,6k2AW4bamSj8fZLxCb8CV9,4,2025-11-07,3,23-11-2025,16,Bordeaux,29
seymoX,5DMxoLtkZeXlWMNaJJITPq,6,https://i.scdn.co/image/ab6761610000e5eb2b90724f398fa193af032637,LEVEL,5uicYuog9SnNmWhC8RWVbb,9,2025-03-06,3,23-11-2025,262,Bordeaux,30
A2F,31Abh0rOiqeyfYbV9x6pBt,0,https://i.scdn.co/image/ab6761610000e5ebaa25738d0c2de2f34793b188,AGAIN,5WSzJ2wm1c4Iqb4ShVylcd,3,2025-05-16,3,23-11-2025,191,Bordeaux,31
M.J.,686MxqCYsA94LXeaI1tBpy,1,https://i.scdn.co/image/ab6761610000e5ebb978b0ff8668d06820bda02c,Versace II,0IZAxLGvl4mVp12vAuDbj7,3,2025-09-12,2,23-11-2025,72,Bordeaux,32
Beekyu-E,4SOhLy3TLTVQwj8tHgJhuQ,1,https://i.scdn.co/image/ab6761610000e5ebdc08354efa2a78bd3fbd942d,Wake Up,5xEW7yOgDhNpZRUIXI4ITm,3,2025-09-26,2,23-11-2025,58,Bordeaux,33
212Leansta,5gWCyjaIW4RUS7J8lNMWGu,2,https://i.scdn.co/image/ab6761610000e5eb54941559322bb5f3e2bf6778,Mauve,3P5nulD2Yi6yolhlPivzzx,4,2025-09-16,2,23-11-2025,68,Bordeaux,34
Guezess,3XlXxcLDDdJ6xGU9NKmPuy,23,https://i.scdn.co/image/ab6761610000e5eb8d1bed497a1301d63fe85760,Dark,4ibTtS4UaUeL1SZfkKp3kJ,26,2024-02-12,2,23-11-2025,650,Bordeaux,35
Baby Neelou,5bpO0XTVIGNUnClzfHHQUz,36,https://i.scdn.co/image/ab6761610000e5ebc8b85e330ea4626caeeda557,SHAUN WHITE,0w4PLTB1Z4gFsiRnTSVpze,38,2025-06-06,2,23-11-2025,170,Bordeaux,36
LIM,0Hv7t7ApRLhrPmzzdg3HYQ,0,https://i.scdn.co/image/ab6761610000e5eb7cc46334f2b54e1674422d05,ABIMÉ,3zudZJKkir8cRYI7JFW5jl,2,2025-06-20,2,23-11-2025,156,Bordeaux,37
ALPHAMASS,1NkPReiu81EQ3m7BWkzWX1,1,https://i.scdn.co/image/ab6761610000e5eb2e7f56f699dac063ecfd0ef1,Miraculé,5GRSWCeFJfenPW1s4unsH6,3,2025-10-17,2,23-11-2025,37,Bordeaux,38
Plaque Tournante,74UHfZSqclnJ1Miyw8amgu,2,https://i.scdn.co/image/ab6761610000e5ebd162eae35803039a73f07e47,Viens nous voir,3slJHwff3X5ywag3PFNqpR,3,2025-11-06,1,23-11-2025,17,Bordeaux,39
Broco,39O7q1BFl6vlpPxWHkAQ3E,2,https://i.scdn.co/image/ab6761610000e5eb16b4ee525014f8769f4b1a92,TRISTE SOUS LE SOLEIL,4G4KJfaNN5YyGlABNEcITB,3,2025-06-13,1,23-11-2025,163,Bordeaux,40
Floki,6hMQQUxaLq1PudsWmTJ1rS,25,https://i.scdn.co/image/ab6761610000e5eb8880315b9318ded2dc6ad776,Tears In My Cup,00gzgZruaMM4zAOtKI0FLf,26,2025-05-23,1,23-11-2025,184,Bordeaux,41
Khali,0rqQfmTWtmxzlrNmnruQXS,49,https://i.scdn.co/image/ab6761610000e5eb61c90f09c356992c02210f1a,PLM DEATHROW,5y8eKF9RimaAcSpT2zPrfE,51,2024-11-27,1,23-11-2025,361,Bordeaux,42
74krimo,3IGS7noMU7JyPTwCknTgpx,0,https://i.scdn.co/image/ab6761610000e5ebc748e8882214f13073982400,FAUT QUE,0aEZ7WFqcr0nK232rEzD34,1,2025-11-21,1,23-11-2025,2,Bordeaux,43
TESSY,0Uu8CSHhdRNfQ9tkM1NPgH,0,https://i.scdn.co/image/ab6761610000e5eb4408afc3531dd89ea358ccf3,Klopp,0KP37Ph0YxUNWNmPdEHOBx,1,2025-10-22,1,23-11-2025,32,Bordeaux,44
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,https://i.scdn.co/image/ab6761610000e5ebd8625afbb9b385fce32dc162,LIGAMENTS,6ztGoM8kl78RQfsrRyfgnz,2,2025-10-17,1,23-11-2025,37,Bordeaux,45
Cams,0TQpH3wBTV1UUnSQCUczg9,0,https://i.scdn.co/image/ab6761610000e5ebf03bd5ed78f550d311cf5368,MÉLANCOLIQUE ANONYME,0zlwih0LEI8bXiGUWSzn1t,1,2025-10-31,1,23-11-2025,23,Bordeaux,46
Kenkra,3ImQvbG8cywiYWOnwuL0HF,0,https://i.scdn.co/image/ab6761610000e5eb54cc947a28d3d7edf6deea53,MESSI,0XDGoaAYVQdvIh7Ep9RzRC,1,2025-10-03,1,23-11-2025,51,Bordeaux,47
TARZAN,1F26wUD65koxitrFVAUM4P,0,https://i.scdn.co/image/ab6761610000e5eb69e57d0a64247e8ec9218964,Argent Sale,7fefgg0WEr4XxJDWW73kAr,1,2025-07-20,1,23-11-2025,126,Bordeaux,48
Le Crime,00edlcHg3ILdHtrYL54bxX,59,https://i.scdn.co/image/ab6761610000e5ebda2faf5c1cb8962cda26ac86,Love D'une Tana,0G8jqOkTePQDKioWz3KQ1U,60,2025-10-24,1,23-11-2025,30,Bordeaux,49
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,https://i.scdn.co/image/ab6761610000e5ebb13ac5a7009784b74e33be94,BOSSE,0oC0fKaN87X4g4TGDyOQ4D,2,2025-03-21,1,23-11-2025,247,Bordeaux,50
GambasDuSsec,1Df9kwmVPh2S3N11vH2SpZ,1,https://i.scdn.co/image/ab6761610000e5ebf1e429fc363bbeb2470c1451,DAYTONA,1HrKDj4N0eUGDZbOwu2r3D,2,2025-06-12,1,23-11-2025,164,Bordeaux,51
ines,3n3sIvX76ONpkFH3XBJ4Tx,0,https://i.scdn.co/image/ab67616d0000b27325520a8ed76285add88ceb86,Dreamed Us,13bVOgAFSaTv22tL3EyfSs,1,2024-12-13,1,23-11-2025,345,Bordeaux,52
GELENE,3UXaR1gNNYkQvLGgRHZkAH,1,https://i.scdn.co/image/ab6761610000e5eb2daf1eef53cb9d15553faa9f,Rêve,7vL6oNvGy1Ik2ZcSr43GFy,3,2024-05-30,1,23-11-2025,542,Bordeaux,53
Hanilo,02gvrVYAwuM6Gcw7S6pMhN,0,https://i.scdn.co/image/ab6761610000e5eba8558ab5d58c9ad7603f76e0,Freestyle H.A,5zuU6uXFDH4dEUnvjcgv55,0,2024-03-08,0,23-11-2025,625,Bordeaux,54
Milouwav,6mfEFbrmyLvSqX0DZt920Y,0,https://i.scdn.co/image/ab6761610000e5eb3745700d3c51538c3b3112d0,DANS TA CAISSE,6IbLShLTa7IfGrysMgPojV,0,2024-06-07,0,23-11-2025,534,Bordeaux,55
Kech,0z2QBpoVY54PI0DzPEUgDK,0,https://i.scdn.co/image/ab67616d0000b273d7e2d33066e2df7a40c499c9,J'écoute pas,0AaXNeuwlLBkRrymtuW2cV,1,2024-08-02,0,23-11-2025,478,Bordeaux,56
Whytee,7hxVFxSkHQ0Yrt2D1Iq6W1,0,https://i.scdn.co/image/ab6761610000e5ebc5c4b43a86055adad8cd327a,TES HANCHES PLEURENT AUSSI,6HpIAbAtC9L35aV8HEKpkP,0,2024-04-19,0,23-11-2025,583,Bordeaux,57
MD,3vGHfbHg1b5XKBiHFVyPHT,0,https://i.scdn.co/image/ab67616d0000b27352461438a8457cf2cc988b24,G MAL AU CRANE,5dfjTc0uMkVRs0snmY7RLj,1,2024-08-13,0,23-11-2025,467,Bordeaux,58
YSKA,3kllV66ew5n7wTCpDGPwp4,0,https://i.scdn.co/image/ab6761610000e5ebeab639297075102cc19c0294,Moon City,4K4paGHqdqjSUjDSsLv2vF,0,2025-04-27,0,23-11-2025,210,Bordeaux,59
Solistar,5KxXqu8xg0JfE28SKKQA5N,0,https://i.scdn.co/image/ab6761610000e5eb4aaad35c51d9b4fd12fbad56,RETROUVAILLE,2f6cqKbo69lEglbcsaDD2L,0,2025-10-31,0,23-11-2025,23,Bordeaux,60
Bricksy & 3g,43y4CGNp5oOXqIn2FToObQ,27,https://i.scdn.co/image/ab6761610000e5eb0f8ecdfcfae3dfc32434272c,Akai,6oQnTsQ0SuUpoz1l2zW36b,27,2024-02-22,0,23-11-2025,640,Bordeaux,61
BigDripcGringo,09lSaURGUemeLqYEkvE1Rr,0,https://i.scdn.co/image/ab6761610000e5eb0c49be2ab00c2a0e5f2ae297,WEST SIDE SONORITY,1sPHnEwJNUCj41pztH3anU,0,2024-07-10,0,23-11-2025,501,Bordeaux,62
Tristan.,5KyogE0QLx2fEcBthKzuaR,0,https://i.scdn.co/image/ab6761610000e5eb27b64bd6a766f2001585a8dd,VALENTINO ROSSI,3g2e0N2TZHVAl3gL8CiWr6,1,2024-11-24,0,23-11-2025,364,Bordeaux,63
