name_artist,id_artist,popularity_artist,image_artist,name_track,id_track,popularity_track,release_date,score,running_date,difference_days,ville,classement
Angelo,5gQHyAPgc1ZfgfVTSnX0zd,19,https://i.scdn.co/image/ab6761610000e5ebfaa0c2ee31d23fbc01b0ff55,SCHÉMA,0VdoEoRuChgq09JxF12xvL,35,2025-10-11,17,23-11-2025,43,Bordeaux,1
Edoukou,1h9LMhahP0CiE9EkxMcyQG,12,https://i.scdn.co/image/ab6761610000e5eba2a045b33ad1c8e68caa9059,Pas d'love,3NDuo9uQq1GwMpdg2tWkrz,25,2025-10-26,14,23-11-2025,28,Bordeaux,2
Splinter,4aGtf6rai1D5I1Uka9ffAD,10,https://i.scdn.co/image/ab6761610000e5eb6ec57164fefb688f33c5f691,10 OU 2,7iJZIX43TsiLqUzdtdVCwn,23,2025-11-03,14,23-11-2025,20,Bordeaux,3
Needz,62movqzaRnQKnZgdH0NNnZ,6,https://i.scdn.co/image/ab6761610000e5eb30f4a77ad707c7a7f2da3468,BLMN,1Wcv5t9NooxF1TQDghHvKN,18,2025-03-05,12,23-11-2025,263,Bordeaux,4
Kuroy Lenid,6oIhSWrI8fc3pUXy2XHjpq,6,https://i.scdn.co/image/ab6761610000e5eb8185217eeaea96071223ecb6,FUBU,4P04N7YmvBFbrAMOoirzYJ,16,2025-11-14,11,23-11-2025,9,Bordeaux,5
Wiguy,07wvsGPgwBytTdkcWiqG3s,4,https://i.scdn.co/image/ab6761610000e5eb92bcad57891351ab44b67ed5,TENTIONS,08P0gF0OXxmTADQGsVLaLa,15,2025-08-24,11,23-11-2025,91,Bordeaux,6
WRS,1o6zsbM4l2PgWk829Z6dNr,22,https://i.scdn.co/image/ab6761610000e5ebe00e28b8235633cb6d058492,CANADA,3J1APdZj3CoSaJO7V4zroQ,32,2025-08-11,10,23-11-2025,104,Bordeaux,7
BOLLY bab's,44LYz3iuH0wHEGVqQhytJc,2,https://i.scdn.co/image/ab6761610000e5eb97f8e19d2f9244cfeb04c0d3,PILOLO,1Co6wAwjTRONIrg5DQHCVu,12,2025-05-17,10,23-11-2025,190,Bordeaux,8
Insa,73hHs7KXOQOsCOR5zgoK7D,7,https://i.scdn.co/image/ab67616d0000b2734a73f796c414616534d82778,Mec 2 LMT,5A68XHYbjdy7QHfUp6h6eC,22,2024-01-14,10,23-11-2025,679,Bordeaux,9
Brownelims,48xR5PmeVxExj2n9zXmmdq,5,https://i.scdn.co/image/ab6761610000e5eb4877adba0b4fa0329902f095,Hennessy,2sZSDeXvW5VbN5q4iPmWet,14,2025-02-18,9,23-11-2025,278,Bordeaux,10
