name_artist,id_artist,score,id_track,name_track,release_date,running_date,difference_days,classement
Angelo,5gQHyAPgc1ZfgfVTSnX0zd,16,0VdoEoRuChgq09JxF12xvL,SCHÉMA,2025-10-11,22-11-2025,42,1
Edoukou,1h9LMhahP0CiE9EkxMcyQG,13,3NDuo9uQq1GwMpdg2tWkrz,Pas d'love,2025-10-26,22-11-2025,27,2
Splinter,4aGtf6rai1D5I1Uka9ffAD,13,7iJZIX43TsiLqUzdtdVCwn,10 OU 2,2025-11-03,22-11-2025,19,3
Needz,62movqzaRnQKnZgdH0NNnZ,12,1Wcv5t9NooxF1TQDghHvKN,BLMN,2025-03-05,22-11-2025,262,4
Wiguy,07wvsGPgwBytTdkcWiqG3s,11,08P0gF0OXxmTADQGsVLaLa,TENTIONS,2025-08-24,22-11-2025,90,5
Cirfa,5BqFmc928SbBIdIBeKBV0c,10,58p3dctcDivuUDjMcivPwD,3 LETTRES 3 CHIFFRES,2025-04-18,22-11-2025,218,6
PlasmaSeiya,1RUiRu90TwjiYvtaqZSnEp,10,4CLO5qjtQ8YrIGr09ZeIRK,PARFUM,2024-09-11,22-11-2025,437,7
WRS,1o6zsbM4l2PgWk829Z6dNr,10,3J1APdZj3CoSaJO7V4zroQ,CANADA,2025-08-11,22-11-2025,103,8
BOLLY bab's,44LYz3iuH0wHEGVqQhytJc,10,1Co6wAwjTRONIrg5DQHCVu,PILOLO,2025-05-17,22-11-2025,189,9
Brownelims,48xR5PmeVxExj2n9zXmmdq,9,2sZSDeXvW5VbN5q4iPmWet,Hennessy,2025-02-18,22-11-2025,277,10
Edoukou,1h9LMhahP0CiE9EkxMcyQG,9,19TYybLgcbZXYIpHeYEhOc,MARSHAL,2025-08-06,22-11-2025,108,11
ZERG,3uyvP6YXmQnQLD8MqHqMr4,9,2DIrCPHX92TvMu090oreTu,ALL DAYS,2025-09-18,22-11-2025,65,12
Naïloss,256NYYph425UhMKkVXvWzW,9,0WEwBjTatXht6rD0lZ3mwp,Met Gala,2025-10-03,22-11-2025,50,13
RAPH.,0nZDK2ZKWcpbhXpWcgqykA,8,1S98DhjSH2BFzoVPi4XXW3,À l'aide,2025-09-04,22-11-2025,79,14
Splinter,4aGtf6rai1D5I1Uka9ffAD,8,1EA30WUkGmJdvUAuJSUtT2,MOOVE IT,2025-09-18,22-11-2025,65,15
Maydo,1JGcG0hGyvwIobPI8kvEAr,8,4TP1VGgZZNK6lyY205npWg,Nuit noire,2025-05-30,22-11-2025,176,16
Kuroy Lenid,6oIhSWrI8fc3pUXy2XHjpq,8,4P04N7YmvBFbrAMOoirzYJ,FUBU,2025-11-14,22-11-2025,8,17
armoz,0IuxE1bU5CcbL1Ml1DVPax,8,21Ufq0HoBnyx7fDNHcRHvj,Elle s'en va,2025-09-19,22-11-2025,64,18
Todd,39dsykDOsgbhSWe39v4XC9,8,7qyLVvBsLddK6SjOiw5DwE,BULLET PROOF,2024-03-27,22-11-2025,605,19
LS7,1ZwrXD6ajoGy6gXUtKbVDS,8,5D0BxSFvEtzqYeX6OZhrWs,7,2025-09-19,22-11-2025,64,20
WRS,1o6zsbM4l2PgWk829Z6dNr,7,69qk0mF3ywaFYxiKGG3mgp,BREAKING BAD,2025-07-12,22-11-2025,133,21
Cirfa,5BqFmc928SbBIdIBeKBV0c,7,5HMvFVYSnkoKUk2ajtNFi1,MISSION TARDIVE,2025-04-18,22-11-2025,218,22
Needz,62movqzaRnQKnZgdH0NNnZ,7,0FHGia7799B9ch6DFfmed1,KWAY,2025-11-14,22-11-2025,8,23
Lesfer,016mSAI1kUz8EkIu85jMBB,6,3JzAbVFXbZIeMPLLp7lmFC,ZIKS À 2,2024-04-05,22-11-2025,596,24
LS7,1ZwrXD6ajoGy6gXUtKbVDS,6,3TfR5E4FXsS5QUpHOlEOlv,Ma Nana,2025-02-21,22-11-2025,274,25
11LVN,4ADSBvO5uxUSUkXPWjTGCS,6,6wWGhAHsF5Zjq4UYnMCj9v,VERTUMN,2025-02-07,22-11-2025,288,26
Trupii,0ccS8XOQi0R8dPA8Jk02m8,6,6CnNOzfO2U0TtNkrqpTEXJ,Sur les murs,2025-09-19,22-11-2025,64,27
Maxwell Bdx,1ebAZKkTUiYvvfYLTc5pJv,6,4mXUx8CyHm6Pl4fkeuw9I2,Dans le ciel,2025-06-27,22-11-2025,148,28
Noveyz,6MgJk8eXBUKIZaXYZu2KSk,5,3BCoWW2fqOBChNS8MgDtt5,ROSE GOLD,2025-03-26,22-11-2025,241,29
Noveyz,6MgJk8eXBUKIZaXYZu2KSk,5,1LvcJ9xCWLmQT6wdzNZbbn,HOLLYWOOD 90'S,2024-10-02,22-11-2025,416,30
Trupii,0ccS8XOQi0R8dPA8Jk02m8,5,5jkGMqrWGKYR9zDgT16cvl,Freestyle Schaerbeek,2025-09-02,22-11-2025,81,31
Maxwell Bdx,1ebAZKkTUiYvvfYLTc5pJv,5,2mTq15LTB0pJXbSc4YdPe8,Tombent,2025-06-27,22-11-2025,148,32
Wiguy,07wvsGPgwBytTdkcWiqG3s,5,5oOAFhWLLOKZlyfcnELERw,CE MONDE,2025-09-17,22-11-2025,66,33
ABK,239uuSvoJuZuY7rxloaFWu,5,3wCDEvyno2jSLh6l1WB9pU,Temps,2025-05-23,22-11-2025,183,34
LS7,1ZwrXD6ajoGy6gXUtKbVDS,4,3zJk4UFGIMQ9DCFxRyk0cC,Médicinal,2025-06-20,22-11-2025,155,35
Twizzy cinco,2dyHRxF3lofQnkPB86jOni,4,6y8UN2Yo34wjueiPLlSQ4T,Abaisse-toi,2025-08-20,22-11-2025,94,36
Noki la nuit,2EQvIDvZb6Fokhk9JBqPkv,4,6k2AW4bamSj8fZLxCb8CV9,LFLDV,2025-11-07,22-11-2025,15,37
Ismatricule,6ExdAuFeWUhDhSNLMCDrYd,4,77zWREy3pmI2i6InpLephB,Take me back again,2025-06-20,22-11-2025,155,38
LS7,1ZwrXD6ajoGy6gXUtKbVDS,4,0JmtU9nD3vic6W8kK9kolZ,Fait d'or,2025-06-20,22-11-2025,155,39
yaskou,60cEyA3xmKjgVQHWQD228Q,4,7dmDkisWSuLgJZzzSoEBHD,POP,2025-10-07,22-11-2025,46,40
yaskou,60cEyA3xmKjgVQHWQD228Q,4,3hUJk4aHar6Txgagcjec4S,TRYHARD,2025-10-07,22-11-2025,46,41
11LVN,4ADSBvO5uxUSUkXPWjTGCS,4,1zaigNp6aux8Flst3OiXcc,RACCOMODÉ,2024-04-19,22-11-2025,582,42
Naïloss,256NYYph425UhMKkVXvWzW,4,4QceRjsuT2pPUom7PWRAP0,Trop Tard,2025-07-09,22-11-2025,136,43
Guezess,3XlXxcLDDdJ6xGU9NKmPuy,3,4ibTtS4UaUeL1SZfkKp3kJ,Dark,2024-02-12,22-11-2025,649,44
212Leansta,5gWCyjaIW4RUS7J8lNMWGu,3,3P5nulD2Yi6yolhlPivzzx,Mauve,2025-09-16,22-11-2025,67,45
Naïloss,256NYYph425UhMKkVXvWzW,3,01Yfxp4rdAdoo7gX8HRWs6,Wagwan,2025-05-30,22-11-2025,176,46
ZERG,3uyvP6YXmQnQLD8MqHqMr4,3,0qQkqUESm3doBkMac3p0G2,PARKA,2025-06-14,22-11-2025,161,47
RAPH.,0nZDK2ZKWcpbhXpWcgqykA,3,6Qr4URUTwUIfreuBe52slF,P'tit enfant perdu,2025-11-07,22-11-2025,15,48
