name_artist,id_artist,score,id_track,name_track,release_date,running_date,difference_days,classement
seymoX,5DMxoLtkZeXlWMNaJJITPq,3,5uicYuog9SnNmWhC8RWVbb,LEVEL,2025-03-06,22-11-2025,261,49
A2F,31Abh0rOiqeyfYbV9x6pBt,3,5WSzJ2wm1c4Iqb4ShVylcd,AGAIN,2025-05-16,22-11-2025,190,50
Noveyz,6MgJk8eXBUKIZaXYZu2KSk,3,2oDmu2tTQCzU803fcm24MH,Deutsche Qualidad,2024-07-31,22-11-2025,479,51
Wiguy,07wvsGPgwBytTdkcWiqG3s,3,6BBsNBa1eOD4lWfcVYYo8Y,GO DOWN,2025-11-08,22-11-2025,14,52
Beekyu-E,4SOhLy3TLTVQwj8tHgJhuQ,2,5xEW7yOgDhNpZRUIXI4ITm,Wake Up,2025-09-26,22-11-2025,57,53
M.J.,686MxqCYsA94LXeaI1tBpy,2,0IZAxLGvl4mVp12vAuDbj7,Versace II,2025-09-12,22-11-2025,71,54
ZERG,3uyvP6YXmQnQLD8MqHqMr4,2,5JQg5jCOLLSqVEzEO24D4c,ZZ,2025-10-18,22-11-2025,35,55
Baby Neelou,5bpO0XTVIGNUnClzfHHQUz,2,33x4tpd7bt3Pbcl2N6uOOx,Distingué,2025-09-10,22-11-2025,73,56
Noveyz,6MgJk8eXBUKIZaXYZu2KSk,2,0EYHRA0EEfPWNP5bQPSqpC,TROPHÉE,2025-04-30,22-11-2025,206,57
Ismatricule,6ExdAuFeWUhDhSNLMCDrYd,2,1gBkv6YVm6pwKtdYmfXMtR,hauts talons rouges,2025-01-31,22-11-2025,295,58
TARZAN,1F26wUD65koxitrFVAUM4P,2,7fefgg0WEr4XxJDWW73kAr,Argent Sale,2025-07-20,22-11-2025,125,59
212Leansta,5gWCyjaIW4RUS7J8lNMWGu,2,3bLDDDYZqooMAWFPqddOag,Dans La Tete,2025-08-10,22-11-2025,104,60
GELENE,3UXaR1gNNYkQvLGgRHZkAH,2,7vL6oNvGy1Ik2ZcSr43GFy,Rêve,2024-05-30,22-11-2025,541,61
Kenkra,3ImQvbG8cywiYWOnwuL0HF,2,0XDGoaAYVQdvIh7Ep9RzRC,MESSI,2025-10-03,22-11-2025,50,62
GELENE,3UXaR1gNNYkQvLGgRHZkAH,2,6ZmS02a5U7ParII4sxcLNn,Prise de Tête,2024-11-15,22-11-2025,372,63
LIM,0Hv7t7ApRLhrPmzzdg3HYQ,2,2k5G8QBQ6bwu8ubJQV7MP1,COCO,2025-07-04,22-11-2025,141,64
Baby Neelou,5bpO0XTVIGNUnClzfHHQUz,2,0w4PLTB1Z4gFsiRnTSVpze,SHAUN WHITE,2025-06-06,22-11-2025,169,65
Khali,0rqQfmTWtmxzlrNmnruQXS,2,5y8eKF9RimaAcSpT2zPrfE,PLM DEATHROW,2024-11-27,22-11-2025,360,66
ALPHAMASS,1NkPReiu81EQ3m7BWkzWX1,2,5GRSWCeFJfenPW1s4unsH6,Miraculé,2025-10-17,22-11-2025,36,67
seymoX,5DMxoLtkZeXlWMNaJJITPq,2,6Nwf7Ow0XZZWr7ixQ0PclC,X-125,2025-10-19,22-11-2025,34,68
Brownelims,48xR5PmeVxExj2n9zXmmdq,2,5m29AYdLLRg7yh3lYiUNaS,Lovés,2025-09-05,22-11-2025,78,69
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,2,0oC0fKaN87X4g4TGDyOQ4D,BOSSE,2025-03-21,22-11-2025,246,70
LIM,0Hv7t7ApRLhrPmzzdg3HYQ,2,0g6pLXMxcSHytKNuF5jekR,J'm'attache pas,2024-10-31,22-11-2025,387,71
LIM,0Hv7t7ApRLhrPmzzdg3HYQ,2,3zudZJKkir8cRYI7JFW5jl,ABIMÉ,2025-06-20,22-11-2025,155,72
MD,3vGHfbHg1b5XKBiHFVyPHT,1,5dfjTc0uMkVRs0snmY7RLj,G MAL AU CRANE,2024-08-13,22-11-2025,466,73
74krimo,3IGS7noMU7JyPTwCknTgpx,1,1HL00aUCyZtr0wFp8Kl2RF,SOLO,2025-09-08,22-11-2025,75,74
74krimo,3IGS7noMU7JyPTwCknTgpx,1,2RiJh0XTH0p7aPv8nSYmUW,FOLLOW,2025-09-25,22-11-2025,58,75
TESSY,0Uu8CSHhdRNfQ9tkM1NPgH,1,0KP37Ph0YxUNWNmPdEHOBx,Klopp,2025-10-22,22-11-2025,31,76
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,6pmfynYBVeCrU70iJRwBrS,LA BRISE,2025-10-17,22-11-2025,36,77
Broco,39O7q1BFl6vlpPxWHkAQ3E,1,4G4KJfaNN5YyGlABNEcITB,TRISTE SOUS LE SOLEIL,2025-06-13,22-11-2025,162,78
Broco,39O7q1BFl6vlpPxWHkAQ3E,1,59xmQLkZehwijNo8E1UEba,RYUK,2025-06-27,22-11-2025,148,79
Plaque Tournante,74UHfZSqclnJ1Miyw8amgu,1,1myk8BsdBrd1BxkJMKFyUr,Ragequit,2025-11-06,22-11-2025,16,80
Cams,0TQpH3wBTV1UUnSQCUczg9,1,0sbaO7X0xRa1x1P6RtSGQX,ANYWAY,2025-10-31,22-11-2025,22,81
Cams,0TQpH3wBTV1UUnSQCUczg9,1,7gyHib9DszO381rj0a7Uix,HESSPOIR,2025-10-31,22-11-2025,22,82
Cams,0TQpH3wBTV1UUnSQCUczg9,1,2hZOclzZhI0GQnveyZCabP,TRISTEXTES,2025-10-31,22-11-2025,22,83
Cams,0TQpH3wBTV1UUnSQCUczg9,1,383ebRwrLuSKPQYfblRCQv,CAUCHEMARS TOUS LES SOIRS,2025-10-31,22-11-2025,22,84
Cams,0TQpH3wBTV1UUnSQCUczg9,1,0zlwih0LEI8bXiGUWSzn1t,MÉLANCOLIQUE ANONYME,2025-10-31,22-11-2025,22,85
Maydo,1JGcG0hGyvwIobPI8kvEAr,1,4HBElMde9FrnY8AOlr1m4t,Apnée (feat. Sheldon),2024-10-18,22-11-2025,400,86
Lil Euphon,6XHOEXZfY8tO1SR4y1b35h,1,4DL1BlOHHgVigKuftWih3n,Sous Drogues Je Suis,2025-10-24,22-11-2025,29,87
M.J.,686MxqCYsA94LXeaI1tBpy,1,6sBYSjcFUmhOCqymPKDy49,Golden Boy,2025-05-16,22-11-2025,190,88
74krimo,3IGS7noMU7JyPTwCknTgpx,1,3LJPuEY9BRARVH77Wzl2Gp,NO FEELING,2025-10-06,22-11-2025,47,89
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,4w7bTdhdeHyeyZ529CkUX3,LA LISTE,2025-10-17,22-11-2025,36,90
74krimo,3IGS7noMU7JyPTwCknTgpx,1,2sdjGu0x4MPwSbpppiPkV5,JERSEY,2025-09-08,22-11-2025,75,91
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,2pNwUB4AmwqMwuMTlqOYdU,UTOPIE47,2025-10-17,22-11-2025,36,92
212Leansta,5gWCyjaIW4RUS7J8lNMWGu,1,54gSF3QlpR7Q5U05GotKn8,Euro,2025-11-13,22-11-2025,9,93
Floki,6hMQQUxaLq1PudsWmTJ1rS,1,00gzgZruaMM4zAOtKI0FLf,Tears In My Cup,2025-05-23,22-11-2025,183,94
Noki la nuit,2EQvIDvZb6Fokhk9JBqPkv,1,4fdf35Jq01FtQS4GKGc7wh,BLACKBURN,2025-11-07,22-11-2025,15,95
Noki la nuit,2EQvIDvZb6Fokhk9JBqPkv,1,79w0PnD0kCMWHxETQtUJ5g,A҉N҉T҉I҉M҉A҉T҉I҉È҉R҉E҉,2025-11-07,22-11-2025,15,96
Noki la nuit,2EQvIDvZb6Fokhk9JBqPkv,1,6RWUukV9ZWovNhyRkR6BVX,CHLOROFORME,2025-11-07,22-11-2025,15,97
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,6ztGoM8kl78RQfsrRyfgnz,LIGAMENTS,2025-10-17,22-11-2025,36,98
armoz,0IuxE1bU5CcbL1Ml1DVPax,1,6jl7f9fz1yWqdsBQc4JXnl,Nos cœurs,2025-09-27,22-11-2025,56,99
Shedd,3FKaoiJIwBCqPYeHmqINvc,1,4ejmiU0QPdz3pRcnP8vUQd,DON'T LIKE,2025-05-09,22-11-2025,197,100
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,3SxfnStF2pX0c6JVlWhozh,L'ARRET DE PLUS,2025-10-17,22-11-2025,36,101
yaskou,60cEyA3xmKjgVQHWQD228Q,1,4CoFqNIBYyVegwF6wMyJuD,PINKPANTHERE$$,2025-03-07,22-11-2025,260,102
yaskou,60cEyA3xmKjgVQHWQD228Q,1,2gyhG9x6au6FfMhwVFkVF8,EZ,2025-10-07,22-11-2025,46,103
yaskou,60cEyA3xmKjgVQHWQD228Q,1,4k7NhaZL7xvtEkwHDI9va6,4090,2025-08-17,22-11-2025,97,104
yaskou,60cEyA3xmKjgVQHWQD228Q,1,2aliSwuDp4bgWSyQzPTh2p,SOLUTION,2025-10-07,22-11-2025,46,105
yaskou,60cEyA3xmKjgVQHWQD228Q,1,3UQYMWpi2PwZvmXxlxcx6i,LIL FAMAS,2025-10-07,22-11-2025,46,106
yaskou,60cEyA3xmKjgVQHWQD228Q,1,7hbj2um7Z14G2tcY3LJ90o,NO NPC,2025-10-07,22-11-2025,46,107
Kimé,5nSGxqZnLN1PCZvURQgddS,1,6IYjjeMhAlpLK9e1UoIqv8,DES SAISONS DES SAISONS,2025-06-20,22-11-2025,155,108
M.J.,686MxqCYsA94LXeaI1tBpy,1,1ewDchilOZp5QekYF81BT3,Nollywood,2025-01-01,22-11-2025,325,109
Beekyu-E,4SOhLy3TLTVQwj8tHgJhuQ,1,6frz2KGWpowjVLlRBfrurM,Pray,2025-09-26,22-11-2025,57,110
Kimé,5nSGxqZnLN1PCZvURQgddS,1,6oqYMjiKDn2Fyup9dku7EC,Tombeau=GLP,2025-04-18,22-11-2025,218,111
aupinard,33U9I7yBy34UXqKYObItne,1,343E9xkRhh4PWVjtv55HwU,penelope,2025-01-31,22-11-2025,295,112
GambasDuSsec,1Df9kwmVPh2S3N11vH2SpZ,1,3uMagyroeWxvdIqijRf7BO,BUTTERFLY,2024-09-06,22-11-2025,442,113
GambasDuSsec,1Df9kwmVPh2S3N11vH2SpZ,1,1pRCHpWTuTZMY3RSMdtwE4,GO x3,2025-08-15,22-11-2025,99,114
GambasDuSsec,1Df9kwmVPh2S3N11vH2SpZ,1,1HrKDj4N0eUGDZbOwu2r3D,DAYTONA,2025-06-12,22-11-2025,163,115
ZERG,3uyvP6YXmQnQLD8MqHqMr4,1,60FCIIJIpc7qTeZLDdpNKX,COMICO,2025-08-16,22-11-2025,98,116
ALPHAMASS,1NkPReiu81EQ3m7BWkzWX1,1,2EZtAndt81VNwcaks1IX3l,La haine,2024-07-26,22-11-2025,484,117
LS7,1ZwrXD6ajoGy6gXUtKbVDS,1,2gTWBZXEt8i3YgzHcDfagM,Tchoupetta,2025-06-20,22-11-2025,155,118
Jemon,2fVZdHfuPk2mxWGS5TELdm,1,5jiAMHyzFpClKz7Hx8EqS0,regard noir.,2024-04-21,22-11-2025,580,119
Eidoss,3qsWjdTzlpzayZRzd7xJJP,1,2nyjM1g4sR4u5a6HaqG19H,Yoru,2025-10-03,22-11-2025,50,120
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,38TQh8FU5cPWdZKWsM2mcn,LE VENT ET LA GRÊLE,2025-04-04,22-11-2025,232,121
ines,3n3sIvX76ONpkFH3XBJ4Tx,1,13bVOgAFSaTv22tL3EyfSs,Dreamed Us,2024-12-13,22-11-2025,344,122
Guezess,3XlXxcLDDdJ6xGU9NKmPuy,1,7bbPLNdRnrNuKd9GTbFCbM,REAL G,2025-09-24,22-11-2025,59,123
Plaque Tournante,74UHfZSqclnJ1Miyw8amgu,1,3slJHwff3X5ywag3PFNqpR,Viens nous voir,2025-11-06,22-11-2025,16,124
Plaque Tournante,74UHfZSqclnJ1Miyw8amgu,1,09VJMU5WhPg8ES30LuRFoO,Histoire d'eux,2025-11-06,22-11-2025,16,125
Plaque Tournante,74UHfZSqclnJ1Miyw8amgu,1,4KrtiWfNe3PFwtKyXG7KHV,Bow !,2025-11-06,22-11-2025,16,126
Plaque Tournante,74UHfZSqclnJ1Miyw8amgu,1,2o2H8kwcaXBA5gTbDln8bI,Eau bénite,2025-11-06,22-11-2025,16,127
Plaque Tournante,74UHfZSqclnJ1Miyw8amgu,1,0yLEYzSFLP02iyHMyyyy8Y,Cash,2025-11-06,22-11-2025,16,128
Tristan.,5KyogE0QLx2fEcBthKzuaR,1,3g2e0N2TZHVAl3gL8CiWr6,VALENTINO ROSSI,2024-11-24,22-11-2025,363,129
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,430SE21HMSTYEaM0PrKibC,POURQUOI,2025-04-04,22-11-2025,232,130
Beekyu-E,4SOhLy3TLTVQwj8tHgJhuQ,1,2ONNNFnRIUrhUYsNWBz5wA,Baddie,2025-09-26,22-11-2025,57,131
ABK,239uuSvoJuZuY7rxloaFWu,1,0hhZS2gdYkKOJGOSoXCxTi,Roro & Diamant,2025-08-15,22-11-2025,99,132
Beekyu-E,4SOhLy3TLTVQwj8tHgJhuQ,1,6ybSqSilU7QYlKD6r239bk,Victory,2025-09-26,22-11-2025,57,133
Plaque Tournante,74UHfZSqclnJ1Miyw8amgu,1,1SsO0n23sjJXt3YLkwiGuV,Pas désolé,2025-11-06,22-11-2025,16,134
Damaa,0B7BLAtT0EOmCcgUtbr5Fh,1,0YeUZsO0B85ktTBPbP2XnZ,Petit Bonbon,2024-08-09,22-11-2025,470,135
seymoX,5DMxoLtkZeXlWMNaJJITPq,1,7aBrWxJqiwZ6ajwCQVlExp,TAM-TAM,2025-08-01,22-11-2025,113,136
A2F,31Abh0rOiqeyfYbV9x6pBt,1,53Kz4O23Dp44FbBltJg10r,Cette vie la,2024-07-12,22-11-2025,498,137
TARZAN,1F26wUD65koxitrFVAUM4P,1,0Xky6zRnQeSdhb2gldrXAr,LA TÊTE DANS LES NUAGES,2025-09-13,22-11-2025,70,138
ABK,239uuSvoJuZuY7rxloaFWu,1,3MzcKopLjRKUKpoh3d00Po,AÏE AÏE AÏE,2025-04-25,22-11-2025,211,139
ABK,239uuSvoJuZuY7rxloaFWu,1,4YIgzqmLh97CiMptXbqxnJ,J'ai mal,2025-10-17,22-11-2025,36,140
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,3jEwgYwOQ9PtB1petiuMDN,EN CENDRE,2025-07-04,22-11-2025,141,141
ABK,239uuSvoJuZuY7rxloaFWu,1,09OYZos3wQJjJ3pKQKBjD2,2 fois pire,2025-06-28,22-11-2025,147,142
RAPH.,0nZDK2ZKWcpbhXpWcgqykA,1,1GvEeGBXmlfaJqWrQJpeSX,Malade,2025-08-08,22-11-2025,106,143
Ayvee,0abpwgWh43SsFPq3uVRAae,1,2RjeaLCkaAfxfKZFoLJRB5,Body Language,2025-10-10,22-11-2025,43,144
Ayvee,0abpwgWh43SsFPq3uVRAae,1,31FUQGcDdHusmOwxJ4kTQe,Away,2025-10-30,22-11-2025,23,145
Ricky Bishop,1BgUbirVqg7MnHDThNqOil,1,3SQktvoR59p4dxOxC3G43C,FREE RACKS (shake it),2025-10-10,22-11-2025,43,146
Ricky Bishop,1BgUbirVqg7MnHDThNqOil,1,0ujY2CQnIiqSqNrm3vDMyU,Cololo,2025-06-20,22-11-2025,155,147
Le Crime,00edlcHg3ILdHtrYL54bxX,1,0G8jqOkTePQDKioWz3KQ1U,Love D'une Tana,2025-10-24,22-11-2025,29,148
Kech,0z2QBpoVY54PI0DzPEUgDK,1,0AaXNeuwlLBkRrymtuW2cV,J'écoute pas,2024-08-02,22-11-2025,477,149
